gene_symbol,pathway_name,pathway_category,gene_function,pathway_size,pathway_significance
BANK1,B_Cell_Function,B Cell Function,Function related to b cell function,10,0.0004642421420394303
AFF3,B_Cell_Function,B Cell Function,Function related to b cell function,10,0.0005069879906470247
RANKL,Bone_Cartilage_Metabolism,Bone Cartilage Metabolism,Function related to bone cartilage metabolism,14,0.000664126475389961
OPG,Bone_Cartilage_Metabolism,Bone Cartilage Metabolism,Function related to bone cartilage metabolism,14,0.0004514934962714435
RANK,Bone_Cartilage_Metabolism,Bone Cartilage Metabolism,Function related to bone cartilage metabolism,14,0.0004323902457331028
RUNX2,Bone_Cartilage_Metabolism,Bone Cartilage Metabolism,Function related to bone cartilage metabolism,14,0.0009743788452375229
SOX9,Bone_Cartilage_Metabolism,Bone Cartilage Metabolism,Function related to bone cartilage metabolism,14,0.0008123228344233849
ACAN,Bone_Cartilage_Metabolism,Bone Cartilage Metabolism,Function related to bone cartilage metabolism,14,0.0007017653482847493
COL1A1,Bone_Cartilage_Metabolism,Bone Cartilage Metabolism,Function related to bone cartilage metabolism,14,0.00048054285452434016
COL2A1,Bone_Cartilage_Metabolism,Bone Cartilage Metabolism,Function related to bone cartilage metabolism,14,0.0003463166477965551
COMP,Bone_Cartilage_Metabolism,Bone Cartilage Metabolism,Function related to bone cartilage metabolism,14,0.0005919059305987106
MMP1,Bone_Cartilage_Metabolism,Bone Cartilage Metabolism,Function related to bone cartilage metabolism,14,0.000446217185072209
MMP3,Bone_Cartilage_Metabolism,Bone Cartilage Metabolism,Function related to bone cartilage metabolism,14,0.00046659508832526636
MMP9,Bone_Cartilage_Metabolism,Bone Cartilage Metabolism,Function related to bone cartilage metabolism,14,0.00022161061514900152
MMP13,Bone_Cartilage_Metabolism,Bone Cartilage Metabolism,Function related to bone cartilage metabolism,14,0.0007912762520336102
TIMP1,Bone_Cartilage_Metabolism,Bone Cartilage Metabolism,Function related to bone cartilage metabolism,14,0.0007910787151086098
C1QA,Complement_Coagulation,Complement Coagulation,Function related to complement coagulation,12,0.0003009298593108315
C3,Complement_Coagulation,Complement Coagulation,Function related to complement coagulation,12,0.00028912838243787844
C4A,Complement_Coagulation,Complement Coagulation,Function related to complement coagulation,12,0.00027805783008620806
C5,Complement_Coagulation,Complement Coagulation,Function related to complement coagulation,12,0.00016265603670635848
CFB,Complement_Coagulation,Complement Coagulation,Function related to complement coagulation,12,0.000858222902248461
CFH,Complement_Coagulation,Complement Coagulation,Function related to complement coagulation,12,0.0002655893664554794
F2,Complement_Coagulation,Complement Coagulation,Function related to complement coagulation,12,0.0006986586971539408
F3,Complement_Coagulation,Complement Coagulation,Function related to complement coagulation,12,9.967029558609432e-05
F8,Complement_Coagulation,Complement Coagulation,Function related to complement coagulation,12,0.0007353843676522032
SERPINE1,Complement_Coagulation,Complement Coagulation,Function related to complement coagulation,12,0.00014731472405375064
PLAT,Complement_Coagulation,Complement Coagulation,Function related to complement coagulation,12,0.00015881659397281656
PLG,Complement_Coagulation,Complement Coagulation,Function related to complement coagulation,12,0.0008315332231454731
BCL2,Apoptosis_Cell_Cycle,Apoptosis Cell Cycle,Function related to apoptosis cell cycle,8,0.00029092642148979624
BAX,Apoptosis_Cell_Cycle,Apoptosis Cell Cycle,Function related to apoptosis cell cycle,8,0.00017239448609236986
FAS,Apoptosis_Cell_Cycle,Apoptosis Cell Cycle,Function related to apoptosis cell cycle,8,0.000536897371436677
FASLG,Apoptosis_Cell_Cycle,Apoptosis Cell Cycle,Function related to apoptosis cell cycle,8,7.486795405405867e-05
CASP3,Apoptosis_Cell_Cycle,Apoptosis Cell Cycle,Function related to apoptosis cell cycle,8,0.0007104252938426399
CASP8,Apoptosis_Cell_Cycle,Apoptosis Cell Cycle,Function related to apoptosis cell cycle,8,0.0008413465246107616
TP53,Apoptosis_Cell_Cycle,Apoptosis Cell Cycle,Function related to apoptosis cell cycle,8,0.0002484099957354621
MDM2,Apoptosis_Cell_Cycle,Apoptosis Cell Cycle,Function related to apoptosis cell cycle,8,0.0006980016799772772
